unit,concept,term,student_definition,synonyms_or_aliases,common_misconceptions,example_cue,source_pages
Motion and Force,Concept 1: Describing Motion,motion,A change in an object's position compared with a reference point.,movement; change in position,Thinking an object is moving without saying what it is moving compared to.,The car changed position compared with the school.,"1-2,18"
Motion and Force,Concept 1: Describing Motion,reference point,The place or object used to tell whether something has changed position.,starting point; comparison point,Forgetting that motion depends on what you compare it to.,The locker room can be the reference point for a runner.,"1-2,18"
Motion and Force,Concept 1: Describing Motion,distance,"The total length of the path traveled, no matter what direction the object moved.",total path; total ground covered,Using the straight-line change instead of adding the whole path.,Walk 20 m north and 20 m south: distance is 40 m.,"1-2,6,18"
Motion and Force,Concept 1: Describing Motion,displacement,How far and in what direction an object ends from where it started.,change in position; straight-line change,Treating displacement like total distance; leaving off direction.,Walk 20 m north and 20 m south: displacement is 0 m.,"1-2,6,18"
Motion and Force,Concept 1: Describing Motion,speed,How fast something moves; distance divided by time.,rate of motion,Adding direction to speed; confusing speed with velocity.,"A runner travels 100 m in 20 s, so speed is 5 m/s.","1,3-4,7,18"
Motion and Force,Concept 1: Describing Motion,average speed,The total distance traveled divided by the total time for the whole trip.,overall speed,Using only one short part of a trip instead of the whole trip.,Average speed over a trip = total distance ÷ total time.,"1,3,7,10"
Motion and Force,Concept 1: Describing Motion,instantaneous speed,The speed of an object at one specific moment.,speed right now,Thinking it must match the average speed for the whole trip.,A speedometer shows instantaneous speed.,"1,3"
Motion and Force,Concept 1: Describing Motion,velocity,Speed in a specific direction.,speed with direction,Leaving off direction; treating velocity as only speed.,20 m/s north is a velocity.,"1,3,7,18"
Motion and Force,Concept 2: Acceleration,acceleration,"The rate that velocity changes over time. It can happen by speeding up, slowing down, or changing direction.",change in velocity over time,Thinking acceleration only means speeding up.,A car going from 10 m/s to 30 m/s in 5 s accelerates.,"1,11-14,18-19"
Motion and Force,Concept 2: Acceleration,positive acceleration,"Acceleration in the positive direction, often shown as speeding up in classroom examples.",speeding up; increasing velocity,Thinking positive always means good or upward instead of direction/sign.,Velocity increases from 2 m/s to 8 m/s.,"11-14,18-19"
Motion and Force,Concept 2: Acceleration,negative acceleration,Acceleration in the negative direction; in basic examples this often means slowing down.,deceleration; slowing down,Forgetting negative values are expected when an object slows down.,Velocity decreases from 20 m/s to 0 m/s.,"11-14,18-19"
Motion and Force,Concept 3: Newton's Laws and Force,force,A push or pull that can change an object's motion.,push; pull,Thinking a force is needed to keep motion going when no friction exists.,Pushing a box applies a force.,"1,20-24,28"
Motion and Force,Concept 3: Newton's Laws and Force,net force,The overall force after all forces on an object are combined.,total force; combined force,Adding opposite forces instead of subtracting them; ignoring direction.,7 N right and 3 N left gives 4 N right.,"1,20,24,27,37"
Motion and Force,Concept 3: Newton's Laws and Force,balanced forces,Forces that cancel out so the net force is 0 N and motion does not change.,zero net force,Thinking no forces are acting just because the object is not accelerating.,A book resting on a table has balanced forces.,"20,24,28"
Motion and Force,Concept 3: Newton's Laws and Force,unbalanced forces,"Forces that do not cancel out, causing a change in motion.",nonzero net force,Forgetting that direction matters when finding net force.,A stronger push to the right than left makes the object accelerate right.,"20,24,28"
Motion and Force,Concept 3: Newton's Laws and Force,inertia,An object's tendency to resist a change in motion.,resistance to motion change,Thinking faster objects always have more inertia; inertia mainly depends on mass.,A heavy truck is harder to start or stop than a bicycle.,"1,20,24-25,28,31,37"
Motion and Force,Concept 3: Newton's Laws and Force,friction,A force that opposes motion between surfaces that touch.,opposing force; surface resistance,Thinking friction always stops motion instantly or only happens when an object is moving.,Grass slows down a kicked soccer ball.,"1,21,24-26,31,36"
Motion and Force,Concept 3: Newton's Laws and Force,static friction,Friction that keeps an object from starting to move.,no-motion friction,Forgetting that friction can act before an object slides.,A box does not move when a small push is applied.,"21,25"
Motion and Force,Concept 3: Newton's Laws and Force,sliding friction,Friction between surfaces that are sliding past each other.,kinetic friction in sliding examples,Confusing sliding friction with rolling friction.,A book sliding across a desk slows down.,"21,25"
Motion and Force,Concept 3: Newton's Laws and Force,rolling friction,Friction on an object that rolls over a surface.,wheel friction,Thinking rolling friction is usually stronger than sliding friction in basic examples.,A ball rolling across the floor slows down.,"21,25"
Motion and Force,Concept 3: Newton's Laws and Force,air resistance,A friction-like force from air that opposes an object's motion through the air.,drag,Ignoring shape and surface area when comparing falling objects.,A flat sheet of paper falls slower than a crumpled paper ball.,"1,21,25,31"
Motion and Force,Concept 3: Newton's Laws and Force,gravity,An attractive force between objects with mass.,gravitational force,Thinking heavier objects fall faster when air resistance is ignored.,Earth pulls objects downward.,"22,25,31"
Motion and Force,Concept 3: Newton's Laws and Force,Law of Universal Gravitation,All objects with mass attract each other; the strength depends on mass and distance.,universal gravity law,Thinking gravity only exists on Earth.,A satellite stays in orbit because of Earth's gravity.,"1,22-23,31"
Motion and Force,Concept 3: Newton's Laws and Force,terminal velocity,The constant speed reached when air resistance balances the force of gravity on a falling object.,maximum falling speed in air,Thinking the object stops falling when forces balance; it keeps moving at constant speed.,A skydiver eventually falls at constant speed before opening the parachute.,"1,22"
Motion and Force,Concept 3: Newton's Laws and Force,weight,The force of gravity on an object's mass.,gravitational force on mass,Confusing weight with mass; weight is measured in newtons.,A 10 kg object weighs about 98 N on Earth.,"1,23,27,37"
Motion and Force,Concept 3: Newton's Laws and Force,mass,"The amount of matter in an object; in this unit it affects inertia, acceleration, weight, and momentum.",amount of matter,Treating mass and weight as the same measurement.,Mass is measured in kilograms.,"23-24,27,28,32,37"
Motion and Force,Concept 3: Newton's Laws and Force,momentum,"A measure of how hard it is to stop a moving object, found by multiplying mass by velocity.",mass times velocity,Thinking only speed matters; mass matters too.,A heavy truck moving fast has a lot of momentum.,"1,23,31-32,37"
Motion and Force,Concept 3: Newton's Laws and Force,Law of Conservation of Momentum,"In a collision, momentum can transfer between objects, but total momentum stays the same if no outside force acts.",momentum conservation,Thinking momentum disappears in a collision instead of transferring or changing forms with outside effects.,A cue ball transfers momentum to an 8 ball.,"1,23,31-32"
Motion and Force,Concept 3: Newton's Laws and Force,Newton's 1st Law,An object at rest stays at rest and an object in motion stays in motion unless acted on by an unbalanced force.,law of inertia,Thinking moving objects need a continued force even without friction.,A passenger keeps moving forward when a bike stops suddenly.,"20,24-25,28,31,36"
Motion and Force,Concept 3: Newton's Laws and Force,Newton's 2nd Law,Acceleration depends on net force and mass; force equals mass times acceleration.,F=ma,Forgetting that more mass means less acceleration if force stays the same.,A lighter object accelerates more than a heavier object with the same force.,"22,27-28,31,34-37"
Motion and Force,Concept 3: Newton's Laws and Force,Newton's 3rd Law,"For every action force, there is an equal and opposite reaction force.",action-reaction law,Thinking action and reaction forces act on the same object; they act on different objects.,"Air moves backward from a balloon, and the balloon moves forward.","23,26,28,31,34-36"
