id,question,answer,work,skill,variables,circuit_type,difficulty,source_style,source_ref,tags
em_prob_001,A circuit has a 240 V source and a 0.2 ohm resistance. What current flows?,1200 A,I = V / R = 240 / 0.2 = 1200 A,ohms_law_current,V=240 V; R=0.2 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current
em_prob_002,A 9 V battery is connected through a 100 ohm resistor. Find the current.,0.09 A,I = V / R = 9 / 100 = 0.09 A,ohms_law_current,V=9 V; R=100 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current
em_prob_003,A 12 V battery is connected to a 25 ohm resistance. What is the current?,0.48 A,I = 12 / 25 = 0.48 A,ohms_law_current,V=12 V; R=25 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current
em_prob_004,A 120 V potential difference is across a 50 ohm resistance. Calculate current.,2.4 A,I = 120 / 50 = 2.4 A,ohms_law_current,V=120 V; R=50 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current
em_prob_005,A 9 V battery is connected through a 2 x 10^-4 ohm resistance. What current is produced?,"45,000 A","I = 9 / (2 x 10^-4) = 45,000 A",ohms_law_current_scientific_notation,V=9 V; R=2e-4 ohm,,2,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current; scientific_notation
em_prob_006,What current flows through a toy car circuit with a 3 V battery and 20 ohms of resistance?,0.15 A,I = 3 / 20 = 0.15 A,ohms_law_current,V=3 V; R=20 ohm,,1,pdf_practice_paraphrase,PDF p.1,ohms_law; current
em_prob_007,A circuit has 120 V and a total resistance of 340 ohms. Find the current.,0.35 A,I = 120 / 340 = 0.3529 A ≈ 0.35 A,ohms_law_current,V=120 V; R=340 ohm,,1,pdf_practice_paraphrase,PDF p.22,ohms_law; current; total_resistance
em_prob_008,"A circuit has a 25 V source and resistors of 30 ohms, 25 ohms, and 50 ohms in series. What current flows?",0.24 A,Rt = 30 + 25 + 50 = 105 ohms; I = 25 / 105 ≈ 0.24 A,series_resistance_then_current,V=25 V; R1=30; R2=25; R3=50,series,2,pdf_practice_paraphrase,PDF p.22,series; current; ohms_law
em_prob_009,Three 20 ohm resistors are connected in series across 120 V. Find total resistance and current.,Rt = 60 ohms; I = 2 A,Rt = 20 + 20 + 20 = 60 ohms; I = 120 / 60 = 2 A,series_resistance_then_current,"V=120 V; R=20,20,20",series,2,pdf_practice_paraphrase,PDF p.18,series; current; ohms_law
em_prob_010,Three 20 ohm resistors are connected in parallel across 120 V. Find total resistance and total current.,Rt ≈ 6.67 ohms; I ≈ 18 A,Rt = 20 / 3 ≈ 6.67 ohms; I = 120 / 6.67 ≈ 18 A,parallel_resistance_then_current,"V=120 V; R=20,20,20",parallel,2,pdf_practice_paraphrase,PDF p.18,parallel; current; ohms_law
em_prob_011,Ten identical lights are in parallel on a 120 V outlet. Each bulb has 0.5 A flowing through it. What is the resistance of one bulb?,240 ohms,"For one bulb branch, R = V / I = 120 / 0.5 = 240 ohms",parallel_branch_ohms_law,V=120 V each branch; I=0.5 A,parallel,2,pdf_practice_paraphrase,PDF p.18,parallel; resistance; ohms_law
em_prob_012,"What resistance is needed to produce 200 A from a 2,000 V potential difference?",10 ohms,R = V / I = 2000 / 200 = 10 ohms,ohms_law_resistance,V=2000 V; I=200 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
em_prob_013,A 12 V battery produces 25 A of current. What is the resistance?,0.48 ohms,R = 12 / 25 = 0.48 ohms,ohms_law_resistance,V=12 V; I=25 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
em_prob_014,A 9 V battery produces 2.0 A. Find the resistance.,4.5 ohms,R = 9 / 2.0 = 4.5 ohms,ohms_law_resistance,V=9 V; I=2.0 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
em_prob_015,"A 2,000 V line carries 1,000,000 A. What is the resistance?",0.002 ohms,"R = 2000 / 1,000,000 = 0.002 ohms",ohms_law_resistance_large_numbers,V=2000 V; I=1000000 A,,2,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance; large_numbers
em_prob_016,A light bulb uses 0.8 A when connected to 120 V. What is its resistance?,150 ohms,R = 120 / 0.8 = 150 ohms,ohms_law_resistance,V=120 V; I=0.8 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
em_prob_017,What resistance would produce 120 A from a 6 V battery?,0.05 ohms,R = 6 / 120 = 0.05 ohms,ohms_law_resistance,V=6 V; I=120 A,,1,worksheet_photo_paraphrase_pdf,PDF p.10; teacher worksheet photos,ohms_law; resistance
em_prob_018,A 9 V battery produces 18 A of current. What is the resistance?,0.5 ohms,R = 9 / 18 = 0.5 ohms,ohms_law_resistance,V=9 V; I=18 A,,1,pdf_practice_paraphrase,PDF p.10,ohms_law; resistance
em_prob_019,"A 2,500 V source produces 350 A. What resistance is in the circuit?",7.14 ohms,R = 2500 / 350 ≈ 7.14 ohms,ohms_law_resistance,V=2500 V; I=350 A,,1,pdf_practice_paraphrase,PDF p.10,ohms_law; resistance
em_prob_020,A circuit has 120 V and 10 A. How many ohms of resistance are present?,12 ohms,R = 120 / 10 = 12 ohms,ohms_law_resistance,V=120 V; I=10 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
em_prob_021,An alarm clock uses 0.5 A on a 120 V circuit. Calculate resistance.,240 ohms,R = 120 / 0.5 = 240 ohms,ohms_law_resistance,V=120 V; I=0.5 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
em_prob_022,A portable device uses two 1.5 V batteries in series and draws 2 A. What is its resistance?,1.5 ohms,Vt = 1.5 + 1.5 = 3 V; R = 3 / 2 = 1.5 ohms,battery_voltage_then_resistance,V=3 V; I=2 A,series_batteries,2,worksheet_photo_paraphrase,teacher worksheet photos,battery; resistance; ohms_law
em_prob_023,A flashlight uses four 1.5 V batteries and draws 2 A. What is the resistance of the bulb?,3 ohms,Vt = 4 * 1.5 = 6 V; R = 6 / 2 = 3 ohms,battery_voltage_then_resistance,V=6 V; I=2 A,series_batteries,2,worksheet_photo_paraphrase,teacher worksheet photos,battery; resistance; ohms_law
em_prob_024,What voltage produces 50 A through 20 ohms?,"1,000 V",V = I * R = 50 * 20 = 1000 V,ohms_law_voltage,I=50 A; R=20 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; voltage
em_prob_025,A 100 A current flows through a 1.98 x 10^-4 ohm silver wire. What voltage is needed?,0.0198 V,V = 100 * 1.98e-4 = 0.0198 V,ohms_law_voltage_scientific_notation,I=100 A; R=1.98e-4 ohm,,2,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; voltage; scientific_notation
em_prob_026,A 250 A current flows through a copper wire with 2.09 x 10^-4 ohms of resistance. Find voltage.,0.05225 V,V = 250 * 2.09e-4 = 0.05225 V,ohms_law_voltage_scientific_notation,I=250 A; R=2.09e-4 ohm,,2,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; voltage; scientific_notation
em_prob_027,What voltage is needed for 500 A through 50 ohms?,"25,000 V","V = 500 * 50 = 25,000 V",ohms_law_voltage,I=500 A; R=50 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; voltage
em_prob_028,What voltage is needed for 100 A through 3.44 x 10^-4 ohms?,0.0344 V,V = 100 * 3.44e-4 = 0.0344 V,ohms_law_voltage_scientific_notation,I=100 A; R=3.44e-4 ohm,,2,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; voltage; scientific_notation
em_prob_029,A copper wire has 0.75 A flowing through 10 ohms. What is the voltage difference?,7.5 V,V = 0.75 * 10 = 7.5 V,ohms_law_voltage,I=0.75 A; R=10 ohm,,1,pdf_example_paraphrase,PDF p.8,ohms_law; voltage
em_prob_030,What voltage difference is in a 25 ohm circuit if current is 0.5 A?,12.5 V,V = 0.5 * 25 = 12.5 V,ohms_law_voltage,I=0.5 A; R=25 ohm,,1,pdf_practice_paraphrase,PDF p.1,ohms_law; voltage
em_prob_031,What voltage produces 100 A with a resistance of 50 ohms?,"5,000 V",V = 100 * 50 = 5000 V,ohms_law_voltage,I=100 A; R=50 ohm,,1,pdf_practice_paraphrase,PDF p.10,ohms_law; voltage
em_prob_032,Silver has 0.0198 ohms of resistance. What voltage would produce 250 A?,4.95 V,V = 250 * 0.0198 = 4.95 V,ohms_law_voltage,I=250 A; R=0.0198 ohm,,1,pdf_practice_paraphrase,PDF p.10,ohms_law; voltage
em_prob_033,A copper wire has 310 A flowing through 30 ohms. What is the voltage?,"9,300 V",V = 310 * 30 = 9300 V,ohms_law_voltage,I=310 A; R=30 ohm,,1,pdf_practice_paraphrase,PDF p.10,ohms_law; voltage
em_prob_034,A circuit has 15 A and an 8 ohm toaster. What is the voltage?,120 V,V = 15 * 8 = 120 V,ohms_law_voltage,I=15 A; R=8 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; voltage
em_prob_035,A bulb has 4 ohms of resistance and 2 A of current. What voltage is across the bulb?,8 V,V = 2 * 4 = 8 V,ohms_law_voltage,I=2 A; R=4 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; voltage
em_prob_036,How much voltage is needed to generate 10 A in a 5 ohm circuit?,50 V,V = 10 * 5 = 50 V,ohms_law_voltage,I=10 A; R=5 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; voltage
em_prob_037,"Find the total resistance of three series resistors: 5 ohms, 10 ohms, and 20 ohms.",35 ohms,Rt = 5 + 10 + 20 = 35 ohms,series_total_resistance,R1=5; R2=10; R3=20,series,1,pdf_practice_paraphrase,PDF p.18,series; resistance
em_prob_038,"Find total resistance for 5 ohm, 10 ohm, and 20 ohm resistors connected in parallel.",2.86 ohms,1/Rt = 1/5 + 1/10 + 1/20 = 0.35; Rt = 1 / 0.35 = 2.86 ohms,parallel_total_resistance,R1=5; R2=10; R3=20,parallel,2,pdf_practice_paraphrase,PDF p.18,parallel; resistance
em_prob_039,"A parallel circuit has 10 ohm, 20 ohm, and 40 ohm branches connected to 240 V. Find total resistance and current.",Rt ≈ 5.71 ohms; I ≈ 42 A,1/Rt=1/10+1/20+1/40=0.175; Rt=5.71 ohms; I=240/5.71≈42 A,parallel_total_resistance_then_current,V=240 V; R1=10; R2=20; R3=40,parallel,2,pdf_practice_extension,PDF p.18,parallel; resistance; current
em_prob_040,"A parallel circuit has five identical 40,000 ohm resistors. Find total resistance.","8,000 ohms",Rt = 40000 / 5 = 8000 ohms,identical_parallel_resistance,R=40000; n=5,parallel,2,pdf_practice_paraphrase,PDF p.23,parallel; resistance
em_prob_041,"A 50 V source is connected to 5 ohm, 8 ohm, and 10 ohm resistors in parallel. Find total current.",21.25 A,1/Rt=1/5+1/8+1/10=0.425; Rt≈2.35 ohms; I=50/2.35≈21.3 A,parallel_total_resistance_then_current,V=50 V; R1=5; R2=8; R3=10,parallel,2,pdf_practice_paraphrase,PDF p.23,parallel; resistance; current
em_prob_042,"A series circuit has a current of 3.55 A and a 60 V source. If R2 is twice R1, what is R1?",about 5.63 ohms,"Rt = V/I = 60/3.55 ≈ 16.9 ohms. Rt=R1+2R1=3R1, so R1=16.9/3≈5.63 ohms",challenge_series_ratio_resistance,V=60 V; I=3.55 A; R2=2R1,series,3,pdf_challenge_paraphrase,PDF p.23,series; challenge; resistance
em_prob_043,What happens to current if voltage doubles while resistance stays the same?,Current doubles.,"I = V / R, so doubling V doubles I if R does not change.",relationship_voltage_current,V doubles; R constant,,1,worksheet_photo_paraphrase,"PDF p.1, p.8, p.11; worksheet photos",relationship; current; voltage
em_prob_044,What happens to current if resistance doubles while voltage stays the same?,Current is cut in half.,"I = V / R, so doubling R makes I half as large if V does not change.",relationship_resistance_current,R doubles; V constant,,1,worksheet_photo_paraphrase,"PDF p.1, p.8, p.11; worksheet photos",relationship; current; resistance
em_prob_045,Problem 3 had 120 V and 50 ohms. What current flows if the voltage doubles?,4.8 A,Original I=120/50=2.4 A. Doubled voltage is 240 V; I=240/50=4.8 A,relationship_doubled_voltage,V=240 V; R=50 ohm,,2,worksheet_photo_paraphrase,teacher worksheet photos,relationship; ohms_law; current
em_prob_046,Problem 3 had 120 V and 50 ohms. What current flows if the resistance doubles?,1.2 A,Doubled resistance is 100 ohms; I=120/100=1.2 A,relationship_doubled_resistance,V=120 V; R=100 ohm,,2,worksheet_photo_paraphrase,teacher worksheet photos,relationship; ohms_law; current
em_prob_047,A circuit has one 6 V battery and a 6 ohm bulb. What current flows?,1 A,I = 6 / 6 = 1 A,ohms_law_current,V=6 V; R=6 ohm,series_simple,1,worksheet_photo_paraphrase,teacher worksheet photos,battery; current
em_prob_048,A circuit has two 6 V batteries in series and a 6 ohm bulb. What current flows?,2 A,Vt = 6 + 6 = 12 V; I = 12 / 6 = 2 A,battery_voltage_then_current,V=12 V; R=6 ohm,series_batteries,2,worksheet_photo_paraphrase_pdf,PDF p.22; teacher worksheet photos,battery; current
em_prob_049,Which has more current: a 6 V battery with a 6 ohm bulb or two 6 V batteries in series with the same bulb? Why?,The two-battery circuit has more current because it has more voltage with the same resistance.,Circuit A: I=6/6=1 A. Circuit B: I=12/6=2 A.,compare_voltage_current,"A: V=6,R=6; B: V=12,R=6",,2,worksheet_photo_paraphrase,teacher worksheet photos,comparison; battery; brightness
em_prob_050,"A series circuit has one path. If one bulb burns out and opens the circuit, will the other bulbs stay lit?","No. The whole circuit opens, so current stops.",Series circuit = one current path. A break anywhere stops current everywhere.,series_concept,,series,1,pdf_practice_paraphrase,PDF p.16-p.17,series; concept
em_prob_051,"A parallel circuit has three branches. If one branch opens, can the other complete branches still work?",Yes. Current can still flow through the other closed branches.,Parallel circuit = multiple paths. One open branch does not necessarily open all paths.,parallel_concept,,parallel,1,pdf_practice_paraphrase,PDF p.16-p.17,parallel; concept
em_prob_052,How many current paths are in a simple series circuit?,One path.,Series circuits have only one path for current to travel.,series_paths,,series,1,pdf_practice_paraphrase,PDF p.16,series; path
em_prob_053,How many current paths are in a parallel circuit with three branches?,Three paths.,Each branch is a separate path for current.,parallel_paths,,parallel,1,pdf_practice_paraphrase,PDF p.16,parallel; path
em_prob_054,What should a student include to draw a simple circuit that can light a bulb?,"A battery or power source, wires, a bulb or load, and a complete path; a switch can control it.",The bulb lights only when there is a complete closed path from one battery terminal through the bulb back to the other terminal.,diagram_planning,,,1,pdf_lab_paraphrase,PDF p.19-p.20; worksheet photos,diagram; circuit
em_prob_055,Where should an ammeter be placed to measure current through a bulb?,In series with the bulb.,The current being measured must flow through the ammeter.,meter_placement_ammeter,,,1,diagram_worksheet_paraphrase,"PDF p.14, p.17, p.22; worksheet photos",ammeter; diagram
em_prob_056,Where should a voltmeter be placed to measure voltage across a motor?,"Across the motor, in parallel with it.",A voltmeter measures the voltage difference between the two sides of a component.,meter_placement_voltmeter,,,1,diagram_worksheet_paraphrase,PDF p.13; worksheet photos,voltmeter; diagram
em_prob_057,What happens to bulb brightness in a simple series circuit when more bulbs are added?,The bulbs usually get dimmer.,"Adding bulbs in series increases total resistance, which decreases current if battery voltage stays the same.",series_brightness,,series,1,pdf_lab_paraphrase,PDF p.20-p.21,series; brightness
em_prob_058,What happens to current when a higher-voltage battery replaces a lower-voltage battery and resistance stays the same?,Current increases.,"I = V / R. If R is constant and V increases, I increases.",voltage_current_relationship,,,1,pdf_lab_paraphrase,PDF p.20,voltage; current; relationship
em_prob_059,What happens if you replace a 1.5 V battery with a 9 V battery in the same circuit?,Current increases if resistance stays the same.,"The voltage is larger, so I=V/R gives a larger current.",voltage_current_relationship,,,1,worksheet_photo_paraphrase,teacher worksheet photos,voltage; current; relationship
em_prob_060,How could you increase current in a closed circuit with two batteries and two bulbs?,"Add more voltage or reduce resistance, such as removing one bulb if it is in series.",I = V/R. Current increases if voltage increases or resistance decreases.,increase_current_reasoning,,,2,worksheet_photo_paraphrase,teacher worksheet photos,relationship; current
em_prob_061,How could you decrease current in a closed circuit with two batteries and two bulbs?,"Reduce voltage or add resistance, such as removing one battery or adding another bulb in series.",I = V/R. Current decreases if voltage decreases or resistance increases.,decrease_current_reasoning,,,2,worksheet_photo_paraphrase,teacher worksheet photos,relationship; current
em_prob_062,Why can a charged balloon pick up small pieces of paper?,"The balloon induces charge separation in the paper, causing attraction.","The charged balloon creates an electric field. Charges in the paper shift, so the near side is attracted.",induction_concept,,,1,pdf_lab_paraphrase,"PDF p.2, p.6",static; induction
em_prob_063,Why are metals usually good electrical conductors?,Metals have electrons that can move more freely than in many nonmetals.,Electric current depends on moving charges. Freer electrons let charge transfer through the metal.,conductor_concept,,,1,pdf_practice_paraphrase,PDF p.6,conductor; electron
em_prob_064,What happens if you cut a bar magnet in half?,"You get two smaller magnets, each with a north and south pole.",Magnetic poles cannot be isolated by cutting the magnet.,magnet_poles_concept,,,1,pdf_practice_paraphrase,PDF p.27-p.28,magnetism; poles
em_prob_065,What are two ways to increase the strength of an electromagnet?,Increase the number of wire loops or increase the current.,More loops and stronger current both increase the magnetic field produced by the electromagnet.,electromagnet_strength,,,1,pdf_practice_paraphrase,"PDF p.1, p.27",electromagnet; magnetism
em_prob_066,What must you have to make an electromagnet?,"A current-carrying coil of wire, usually around a piece of metal.",The moving charge in the wire makes a magnetic field; the metal core can strengthen it.,electromagnet_requirements,,,1,pdf_practice_paraphrase,PDF p.27,electromagnet; magnetism
em_prob_067,What can moving electric charge produce?,A magnetic field.,"Electric current is moving charge, and it creates a magnetic field around the wire.",electromagnetism_concept,,,1,pdf_practice_paraphrase,PDF p.27-p.28,magnetism; current
em_prob_068,Why can magnets apply force without touching?,They have a magnetic field that can exert force at a distance.,The magnetic field surrounds the magnet and affects magnetic objects nearby.,magnetic_field_concept,,,1,pdf_practice_paraphrase,PDF p.27,magnetism; field
em_prob_069,How are magnetic force and electric force similar?,Both can attract or repel and both can act at a distance.,Both forces use fields to explain how objects can push or pull without touching.,force_comparison,,,1,pdf_practice_paraphrase,PDF p.27,magnetism; electric_force
em_prob_070,How does a doorbell use an electromagnet?,"Current creates a magnetic field that pulls a striker, causing it to hit the bell.","When the circuit closes, the electromagnet turns on and attracts the moving metal part.",electromagnet_application,,,1,pdf_reading_paraphrase,PDF p.28,electromagnet; application
