id,term,aliases,category,grade_band,answer_short,answer_extra,related_terms,unit,symbol,source_ref,tags,router_priority,ai_allowed
em_vocab_001,electricity,electric power; electrical energy movement,charge_current,6-9,"Electricity is the movement or buildup of electric charge, usually involving electrons.","In circuits, electricity usually means charges moving through a complete path. Static electricity means charge is built up in one place.",electric current; static electricity; electric charge,,,"PDF p.1, p.6; worksheet photos",definition; charge; current,high,false
em_vocab_002,matter,stuff; substance,charge,6-9,Matter is anything that has mass and takes up space.,Atoms are the tiny particles that make up matter. Understanding atoms helps explain electric charge.,atom; proton; electron; neutron,,,PDF p.3,definition; atom,medium,false
em_vocab_003,atom,atoms,charge,6-9,"An atom is a tiny particle of matter made of protons, neutrons, and electrons.",Protons and neutrons are in the nucleus. Electrons move around the nucleus.,proton; neutron; electron; electric charge,,,"PDF p.1, p.3, p.6",definition; subatomic_particles,high,false
em_vocab_004,proton,protons,charge,6-9,A proton is a positively charged particle found in the nucleus of an atom.,The number of protons helps identify the element.,atom; neutron; electron; positive charge,,,PDF p.6; worksheet photos,definition; charge,high,false
em_vocab_005,neutron,neutrons,charge,6-9,A neutron is a neutral particle found in the nucleus of an atom.,Neutral means it has no electric charge.,atom; proton; electron; neutral,,,"PDF p.6, p.11",definition; charge,high,false
em_vocab_006,electron,electrons; e-,charge_current,6-9,An electron is a negatively charged particle found outside the nucleus of an atom.,Electric charge is often transferred when electrons move from one object or material to another.,atom; current; static electricity; negative charge,,,"PDF p.6, p.11; worksheet photos",definition; charge; current,high,false
em_vocab_007,electric charge,charge; electrical charge; charged object,charge,6-9,Electric charge is a property of matter that can be positive or negative.,"Objects can become charged when they gain or lose electrons. Like charges repel, and opposite charges attract.",positive charge; negative charge; static electricity; electric field,,,"PDF p.1, p.6, p.11; worksheet photos",definition; rules_of_charge,high,false
em_vocab_008,positive charge,positive; + charge,charge,6-9,"A positive charge means there are more protons than electrons, or fewer electrons than needed for neutrality.","Protons are positive. In many static electricity problems, an object becomes positive by losing electrons.",proton; electron; negative charge,,,"PDF p.6, p.11",definition; charge,medium,false
em_vocab_009,negative charge,negative; - charge,charge,6-9,A negative charge means there are more electrons than protons.,Electrons are negative. An object often becomes negative by gaining electrons.,electron; positive charge; static electricity,,,PDF p.6,definition; charge,medium,false
em_vocab_010,neutral,electrically neutral; no net charge,charge,6-9,Neutral means an object has no overall electric charge.,"In a neutral atom, the number of protons equals the number of electrons.",atom; proton; electron; electric charge,,,PDF p.6,definition; charge,medium,false
em_vocab_011,static electricity,static charge; charge buildup,charge,6-9,Static electricity is a buildup of electric charge on an object.,"It often happens when electrons transfer by friction, such as rubbing a balloon on hair or cloth.",friction; static discharge; electric charge,,,"PDF p.1, p.2, p.6, p.11; worksheet photos",definition; static,high,false
em_vocab_012,electric field,electrical field; field around charge,charge,6-9,An electric field is the area around a charged object where it can push or pull other charges.,An electric field lets charged objects exert forces at a distance.,electric charge; force at a distance; induction,,,"PDF p.1, p.3, p.6, p.11",definition; field; force,high,false
em_vocab_013,electroscope,charge detector,charge,6-9,An electroscope is a device used to detect electric charge.,"It can show that charge is present, often by the movement or spreading of lightweight parts.",electric charge; static electricity; induction,,,"PDF p.1, p.11; worksheet photos",definition; tool,high,false
em_vocab_014,conductor,conductors; good conductor; conductive material,materials,6-9,A conductor is a material that allows electric charge or current to move through it easily.,Metals are usually good conductors because their electrons can move more freely.,insulator; metal; electric current,,,"PDF p.1, p.4, p.6, p.11; worksheet photos",definition; materials,high,false
em_vocab_015,insulator,insulators; poor conductor; insulating material,materials,6-9,An insulator is a material that does not allow electric charge or current to move through it easily.,"Rubber, plastic, glass, and dry wood are common examples of insulators.",conductor; resistance; rubber,,,"PDF p.1, p.4, p.6, p.11; worksheet photos",definition; materials,high,false
em_vocab_016,static discharge,discharge; electric shock; lightning,charge,6-9,Static discharge is the sudden movement of built-up electric charge from one place to another.,A small shock after walking on carpet is static discharge. Lightning is a large static discharge.,static electricity; lightning; grounding,,,"PDF p.1, p.5, p.6, p.11",definition; static; lightning,high,false
em_vocab_017,grounding,grounded; ground wire; remove charge,charge_safety,6-9,Grounding is giving electric charge a safe path to flow into Earth or another large conductor.,Grounding can remove excess charge and helps protect buildings and people from dangerous discharge.,static discharge; electric charge; lightning,,,"PDF p.1, p.5, p.11",definition; safety,high,false
em_vocab_018,conduction,charging by conduction; direct contact transfer,charge_transfer,6-9,Conduction is transfer of charge by direct contact.,"For example, a charged object can transfer charge by touching another object.",friction; induction; charge transfer,,,"PDF p.4, p.6, p.11",definition; charge_transfer,high,false
em_vocab_019,friction,charging by friction; rubbing,charge_transfer,6-9,Friction can transfer charge when two objects rub together.,Rubbing a balloon on hair or rubbing socks on carpet can transfer electrons and build up static electricity.,static electricity; charge transfer; conduction,,,"PDF p.2, p.4, p.6, p.11",definition; charge_transfer,high,false
em_vocab_020,induction,charging by induction; charge from a distance,charge_transfer,6-9,Induction is when a charged object causes charges in another object to shift without touching it.,A charged balloon picking up small paper pieces or bending a thin stream of water are examples of induction.,electric field; static electricity; conduction,,,"PDF p.2, p.4, p.6, p.11",definition; charge_transfer,high,false
em_vocab_021,electric current,current; flow of charge; flow of electrons; I,current,6-9,Electric current is the flow of electric charge through a material or circuit.,"Current is measured in amperes, or amps. In many circuit problems, I = V / R.",ampere; voltage; resistance; Ohm’s Law,ampere,I,"PDF p.1, p.7, p.8, p.11; worksheet photos",definition; current; ohms_law,high,false
em_vocab_022,ampere,amp; amps; A; unit for current,units,6-9,"An ampere, or amp, is the unit used to measure electric current.","If a problem asks for current, the answer usually has units of amps or A.",electric current; Ohm’s Law,ampere,A,PDF p.11; worksheet photos,definition; unit; current,high,false
em_vocab_023,voltage difference,voltage; potential difference; electric potential difference; V; volts,current,6-9,Voltage difference is the push that causes electric charges to flow in a circuit.,"Voltage difference is measured in volts. If resistance stays the same, more voltage produces more current.",volt; battery; current; Ohm’s Law,volt,V,"PDF p.1, p.7, p.8, p.11; worksheet photos",definition; voltage; ohms_law,high,false
em_vocab_024,volt,volts; V; unit for voltage; unit for potential difference,units,6-9,A volt is the unit used to measure voltage difference.,"If a problem asks for voltage or potential difference, the answer usually has units of volts or V.",voltage difference; battery,volt,V,PDF p.11; worksheet photos,definition; unit; voltage,high,false
em_vocab_025,resistance,resistor opposition; ohms; R,current,6-9,Resistance is opposition to the flow of electric current.,"Resistance is measured in ohms. If voltage stays the same, more resistance means less current.",ohm; resistor; current; Ohm’s Law,ohm,R,"PDF p.1, p.8, p.11; worksheet photos",definition; resistance; ohms_law,high,false
em_vocab_026,ohm,ohms; Ω; unit for resistance,units,6-9,An ohm is the unit used to measure resistance.,"If a problem asks for resistance, the answer usually has units of ohms or Ω.",resistance; resistor,ohm,Ω,PDF p.11; worksheet photos,definition; unit; resistance,high,false
em_vocab_027,Ohm’s Law,Ohm's Law; ohms law; VIR; V = IR; I = V/R; R = V/I,formula,6-9,"Ohm’s Law relates voltage, current, and resistance.","The three common forms are I = V / R, V = I × R, and R = V / I.",current; voltage difference; resistance,,,"PDF p.1, p.8, p.10, p.11; worksheet photos",definition; formula; ohms_law,high,false
em_vocab_028,circuit,electric circuit; pathway; complete path,circuits,6-9,A circuit is a path that electric current can travel through.,"A working circuit needs a power source, conducting path, and usually a load. Current flows only when the path is complete.",closed circuit; open circuit; battery; wire,,,"PDF p.1, p.7, p.12; worksheet photos",definition; circuit,high,false
em_vocab_029,closed circuit,complete circuit; closed path,circuits,6-9,"A closed circuit has a complete path, so current can flow.","When a switch is closed, the circuit is connected and devices can turn on.",open circuit; switch; current,,,"PDF p.1, p.11, p.20; worksheet photos",definition; circuit,high,false
em_vocab_030,open circuit,broken circuit; open path,circuits,6-9,"An open circuit has a break in the path, so current cannot flow.","When a switch is open, the circuit is disconnected and devices turn off.",closed circuit; switch; current,,,"PDF p.1, p.20; worksheet photos",definition; circuit,high,false
em_vocab_031,battery,cell; power source; voltage source,components,6-9,A battery is a power source that converts chemical energy into electrical energy.,A battery provides the voltage difference that pushes charge through a circuit. Batteries in series can add their voltages.,voltage difference; circuit; cell,,,"PDF p.1, p.7, p.11; worksheet photos",definition; component; voltage,high,false
em_vocab_032,wire,conductor wire; connecting wire,components,6-9,A wire is a conductor that connects parts of a circuit and gives current a path to flow.,Wires are often made from metals such as copper because metals conduct electricity well.,conductor; circuit; current,,,PDF p.19; worksheet photos,definition; component; symbol,medium,false
em_vocab_033,switch,circuit switch; open switch; closed switch,components,6-9,A switch is a device that opens or closes a circuit.,An open switch stops current. A closed switch allows current to flow.,open circuit; closed circuit,,,"PDF p.1, p.13, p.14, p.20; worksheet photos",definition; component; symbol,high,false
em_vocab_034,light bulb,bulb; lamp; load,components,6-9,A light bulb is a load that converts electrical energy into light and heat.,"Bulb brightness depends on current and power. In simple circuits, more current usually means a brighter bulb.",circuit; current; resistance,,,PDF p.13-p.18; worksheet photos,definition; component; symbol,medium,false
em_vocab_035,resistor,resistance component; load resistor,components,6-9,A resistor is a circuit part that adds resistance and limits current.,"In circuit diagrams, a resistor is often shown as a zigzag line or a rectangle, depending on the notation.",resistance; ohm; Ohm’s Law,ohm,R,PDF p.13-p.18; worksheet photos,definition; component; symbol,high,false
em_vocab_036,ammeter,current meter; amp meter,tools,6-9,An ammeter is a meter used to measure electric current.,An ammeter should be placed in series so the current being measured flows through it.,electric current; ampere; series circuit,ampere,A,"PDF p.1, p.14, p.17, p.22; worksheet photos",definition; meter; symbol; diagram,high,false
em_vocab_037,voltmeter,voltage meter; potential difference meter,tools,6-9,A voltmeter is a meter used to measure voltage difference.,"A voltmeter should be placed across, or parallel to, the part being measured.",voltage difference; volt; parallel,volt,V,"PDF p.1, p.13, p.15; worksheet photos",definition; meter; symbol; diagram,high,false
em_vocab_038,series circuit,series; one path circuit,circuits,6-9,A series circuit has only one path for current to flow.,"If one part of a series circuit opens or breaks, current stops through the whole circuit. Total resistance in series is the sum of the resistances.",parallel circuit; total resistance; current,,,"PDF p.1, p.12-p.18, p.21; worksheet photos",definition; circuit; series,high,false
em_vocab_039,parallel circuit,parallel; multiple path circuit,circuits,6-9,A parallel circuit has more than one path for current to flow.,"If one branch opens, other branches may still work. Adding branches in parallel usually decreases total resistance.",series circuit; branch; total resistance,,,"PDF p.1, p.12-p.18, p.21; worksheet photos",definition; circuit; parallel,high,false
em_vocab_040,branch,pathway; parallel branch,circuits,6-9,A branch is one separate path in a parallel circuit.,"Each branch can hold a device such as a bulb, resistor, or switch.",parallel circuit; current; circuit,,,"PDF p.1, p.16-p.17, p.21",definition; circuit; parallel,medium,false
em_vocab_041,complex circuit,combination circuit; series-parallel circuit,circuits,6-9,A complex circuit combines series and parallel parts in the same circuit.,"To analyze it, break it into smaller series and parallel sections.",series circuit; parallel circuit,,,worksheet photos; PDF p.17 challenge,definition; circuit,medium,false
em_vocab_042,fuse,safety fuse,safety,6-9,A fuse is a safety device that breaks a circuit if too much current flows.,A fuse helps prevent overheating by opening the circuit.,circuit breaker; overheating; current,,,"PDF p.1, p.14",definition; safety,medium,false
em_vocab_043,circuit breaker,breaker; safety breaker,safety,6-9,A circuit breaker is a reusable safety switch that opens a circuit when too much current flows.,Circuit breakers help prevent overheating and electrical fires.,fuse; overheating; current,,,"PDF p.1, p.14",definition; safety,medium,false
em_vocab_044,power,electrical power; wattage,energy,6-9,Power is the rate at which a device converts electrical energy into another form of energy.,Electrical power is often measured in watts. A brighter bulb usually uses more power.,current; voltage; energy,watt,P,worksheet photos,definition; power,medium,false
em_vocab_045,magnetism,magnetic force topic,magnetism,6-9,Magnetism is a force related to magnets and moving electric charges.,Magnetic forces can attract or repel and can act at a distance through magnetic fields.,magnet; magnetic field; magnetic force,,,"PDF p.1, p.24-p.28",definition; magnetism,high,false
em_vocab_046,magnet,magnets,magnetism,6-9,A magnet is an object that has a magnetic field and can attract some materials.,"Magnets have north and south poles. Opposite poles attract, and like poles repel.",magnetic pole; magnetic field; ferromagnetism,,,"PDF p.1, p.24-p.28",definition; magnetism,high,false
em_vocab_047,magnetic force,magnetic attraction; magnetic repulsion,magnetism,6-9,Magnetic force is the push or pull between magnetic objects or moving charges.,It is strongest near the poles of a magnet and gets weaker with distance.,magnet; magnetic field; magnetic pole,,,"PDF p.1, p.24, p.27",definition; force; magnetism,high,false
em_vocab_048,magnetic field,field lines; magnetic field lines,magnetism,6-9,A magnetic field is the area around a magnet or moving charge where magnetic force can act.,Magnetic field lines form closed loops and are often shown from north to south outside a magnet.,magnet; magnetic force; field lines,,,"PDF p.1, p.24-p.28",definition; field; magnetism,high,false
em_vocab_049,magnetic pole,north pole; south pole; poles,magnetism,6-9,A magnetic pole is one end of a magnet where magnetic force is strongest.,Magnets always have both a north and a south pole; cutting a magnet makes smaller magnets with both poles.,magnet; magnetic field; magnetic force,,,"PDF p.1, p.27-p.28",definition; magnetism,medium,false
em_vocab_050,magnetic domain,domain; magnetic domains,magnetism,6-9,A magnetic domain is a tiny region inside a material where magnetic fields line up.,"In magnetic materials, many domains are aligned. In nonmagnetic materials, domains point in different directions.",ferromagnetism; magnet; magnetic field,,,"PDF p.1, p.25, p.27",definition; magnetism,high,false
em_vocab_051,ferromagnetism,ferromagnetic; magnetic material,magnetism,6-9,Ferromagnetism is strong magnetism found in materials whose domains can line up.,"Iron, nickel, and cobalt are common ferromagnetic materials.",magnetic domain; magnet; iron,,,"PDF p.1, p.25, p.27",definition; magnetism; materials,medium,false
em_vocab_052,electromagnet,electromagnets; temporary magnet,magnetism,6-9,"An electromagnet is a magnet made by electric current flowing through a coil of wire, often around metal.",You can make an electromagnet stronger by adding more wire loops or increasing current.,current; magnetic field; coil,,,"PDF p.1, p.26-p.28",definition; electromagnet; magnetism,high,false
em_vocab_053,electric motor,motor,magnetism_components,6-9,An electric motor uses electricity and magnetism to turn electrical energy into motion.,Motors use magnetic forces to make parts spin.,electromagnet; magnetic force; current,,,PDF p.1; worksheet photos,definition; motor; component,medium,false
em_vocab_054,generator,electric generator,magnetism_components,6-9,A generator uses motion and magnetism to produce electrical energy.,"A generator is related to a motor, but it converts motion into electricity instead of electricity into motion.",electric motor; magnetic field; current,,,PDF p.1,definition; generator; magnetism,medium,false
